Alias;Provincia;Municipio_oficial;Codigo_INE;Fuente;Confianza
Oropesa y Corchuela;Toledo;Oropesa;45125;https://www.ine.es/#v5-2-alias-municipal;ALTA
Castril de la Peña;Granada;Castril;18046;https://www.ine.es/#v5-2-alias-municipal;ALTA
Otura;Granada;Villa de Otura;18149;https://www.ine.es/#v5-2-alias-municipal;ALTA
Histórica Villa de Adeje;Santa Cruz de Tenerife;Adeje;38001;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2023-688;ALTA
As Pontes de García Rodríguez;A Coruña;Pontes de García Rodríguez, As;15070;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-3698;ALTA
Sa Pobla;Illes Balears;Pobla, Sa;07044;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2026-9835;ALTA
Santa María de Guía;Las Palmas;Santa María de Guía de Gran Canaria;35023;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2023-25830;ALTA
Villa de Garafía;Santa Cruz de Tenerife;Garafía;38016;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2023-183;ALTA
Palma de Mallorca;Illes Balears;Palma;07040;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2018-7354;ALTA
Vilanova y la Geltrú;Barcelona;Vilanova i la Geltrú;08307;https://www.boe.es/diario_boe/txt.php?id=BOE-A-2024-1627;ALTA
